text,sender_id,receiver_ids,timestamp
si hehehe,08fb43c60c8f76f5367b95b8784aea066eca95f54fd55c3cd990b205,"['08fb43c60c8f76f5367b95b8784aea066eca95f54fd55c3cd990b205', '76b8d44676fed57eb0e3627eff69165c9ea9788ad0e832560d48a146']",2020-07-05 12:44:00
Lets check 😀,4d57fe03511bbe5dd6a16675a595df5a1b967d9bcacf7525923749d1,"['708308581ddca02b5d0ee9fa588802100125bb067cd6e70baf0350aa', 'a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2', 'c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48', '1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3', '4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '4d57fe03511bbe5dd6a16675a595df5a1b967d9bcacf7525923749d1']",2020-08-01 04:25:00
Ya te vas? 😕,91febbeb04b3a8f9f815d59a3b9cd666c364bbb7e484682623bd1c7f,"['91febbeb04b3a8f9f815d59a3b9cd666c364bbb7e484682623bd1c7f', '4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '7e02f2d0aa12d15ea16f0f189d621f7b5e668ef70e65f65ddb4b48e7']",2020-07-23 09:03:00
yes,708308581ddca02b5d0ee9fa588802100125bb067cd6e70baf0350aa,"['708308581ddca02b5d0ee9fa588802100125bb067cd6e70baf0350aa', 'a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2', 'c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48', '1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3', '4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '4d57fe03511bbe5dd6a16675a595df5a1b967d9bcacf7525923749d1']",2020-07-24 19:34:00
SOS muy amable,1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3,"['79a6f286698602e4de30ece1d247baedcb903c71a5f42a425a3210ff', 'a2a728d69944afd6917515829fc1f2ecada6e3085280f33b42c422d9', '4cfca6da32da647198225460722b7ea1284f98c4b179e8dbae3f93d5', '9f84a3287d7341d8eba1961f43b9c5e44a487373a8ac7f61a8eb74dc', '1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3', 'c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48']",2020-05-28 02:56:00
Yes I like watching Tv,91febbeb04b3a8f9f815d59a3b9cd666c364bbb7e484682623bd1c7f,"['faf2c49e22e3fdae824e8e5d62956a5f50f16cd4d8f47948b787a582', '66d178281474e50ee7040e2270f5c889cbfdfaf11a930aae6d6f5028', '91febbeb04b3a8f9f815d59a3b9cd666c364bbb7e484682623bd1c7f', 'bd1a1bdf6eae5ee14c3fee371cca975a5e052009bc67ce8f11cb7271', '132118fcbd33ca6eb800b646f240defac0ad9b8ab0baee3d24de247e', '2951d5a283a9dfe8d8462aaba47bd2b3932f6016450ed43837df6adf']",2020-07-18 14:19:00
Wings! Is sad and beautiful at the same time 😊,6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a,"['4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a']",2020-08-09 20:52:00
علی,0a192892aa3af8d31c7d3a0eec4c3e0d3f1dd05730569d2cab8d951e,"['b7e6b18289039dd1a6fa2098aaa54f8191afece5ebe487449f9891a0', '67cdcd2fee161be905e0cd5135b75ce791f6a658de26315e75269a6a', 'a65b9aff1ca328b12e7812d30a2b08cc878346c420acd4cfa84c23b9', '751267062c92e398c3942214b58136f73a4b9e1ca9a214d72d6d5805', '2336fe9cc4353d58ceae17f820ccd0f79559be1e0c1c42e163fb0610', '0a192892aa3af8d31c7d3a0eec4c3e0d3f1dd05730569d2cab8d951e']",2020-05-14 18:01:00
"I did a new song, do you want to hear?",28de1d173d69c7b494041a6b6d269f3a195f52119416d960dfab0d01,"['28de1d173d69c7b494041a6b6d269f3a195f52119416d960dfab0d01', 'c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48', 'b78438be9c71c75357ae4ca8478cc16d779958ba25e51afbeefd4751', '958d42a83cf840cde79922f0795fd6ac7da4d2df828edc32244bb3ba', 'f6a75c6bbf92eff08f04470171a82c6c11bcd6b96de3444837f22f84', '8416c38cc898f1ac7cc9d64e89dab1f70f5ddab002a5b2a1713f93f5']",2020-04-07 09:22:00
Good time to see a movie! 🍿,4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5,"['708308581ddca02b5d0ee9fa588802100125bb067cd6e70baf0350aa', 'a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2', 'c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48', '1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3', '4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '4d57fe03511bbe5dd6a16675a595df5a1b967d9bcacf7525923749d1']",2020-07-04 18:22:00
Problemas técnicos!!,4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5,"['91febbeb04b3a8f9f815d59a3b9cd666c364bbb7e484682623bd1c7f', '4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '7e02f2d0aa12d15ea16f0f189d621f7b5e668ef70e65f65ddb4b48e7']",2020-07-31 17:46:00
[photo],112a6cfa3ed398a5248c479ed6a061d397633a3fb4d5b9ecca274695,"['112a6cfa3ed398a5248c479ed6a061d397633a3fb4d5b9ecca274695', 'a29662a4f922a60411ca84c145bf83b76ec59210be23d995e30934d2']",2020-08-02 05:41:00
"I like the independence of cats, and loyalty of dogs 😁
And you?",8416c38cc898f1ac7cc9d64e89dab1f70f5ddab002a5b2a1713f93f5,"['f193e8b0c6e8e436ed6fbff804917367733cddc04514d1865452f399', '8416c38cc898f1ac7cc9d64e89dab1f70f5ddab002a5b2a1713f93f5', '2f23d622b2d31c7c50e173f49cc33843a69a9cfee1307971b4187cdd', '9f84a3287d7341d8eba1961f43b9c5e44a487373a8ac7f61a8eb74dc', '2e5ba8a2ad4d980bf12ad347793fc8f78dc98cb784d1a55b2736b1ed', 'c49bd5f2fdeb86ea2c25f760f88f211e8e26806c2274fdc8357307b2']",2020-08-19 23:32:00
I don't have a company 🤔,4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5,"['0a192892aa3af8d31c7d3a0eec4c3e0d3f1dd05730569d2cab8d951e', 'b78438be9c71c75357ae4ca8478cc16d779958ba25e51afbeefd4751', '4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5']",2020-06-27 03:25:00
Dónde despertaste?,31e37d936439ee86e5496116c51ebf72018be157ed61a638dd510046,"['9f84a3287d7341d8eba1961f43b9c5e44a487373a8ac7f61a8eb74dc', 'faf2c49e22e3fdae824e8e5d62956a5f50f16cd4d8f47948b787a582', '31e37d936439ee86e5496116c51ebf72018be157ed61a638dd510046', '66d178281474e50ee7040e2270f5c889cbfdfaf11a930aae6d6f5028', 'b7e6b18289039dd1a6fa2098aaa54f8191afece5ebe487449f9891a0']",2020-08-01 15:16:00
*song,a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2,"['708308581ddca02b5d0ee9fa588802100125bb067cd6e70baf0350aa', 'a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2', 'c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48', '1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3', '4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '4d57fe03511bbe5dd6a16675a595df5a1b967d9bcacf7525923749d1']",2020-04-06 13:14:00
"I don't know exactly how I work, but yes, should be something like that.",379e9548414e1a56aaf2d1e62b4bdcd8305fc705a31f00da4bb89312,"['379e9548414e1a56aaf2d1e62b4bdcd8305fc705a31f00da4bb89312', '6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a', '79a6f286698602e4de30ece1d247baedcb903c71a5f42a425a3210ff', '4d57fe03511bbe5dd6a16675a595df5a1b967d9bcacf7525923749d1']",2020-06-15 07:33:00
Organmoqchiman,9f84a3287d7341d8eba1961f43b9c5e44a487373a8ac7f61a8eb74dc,"['4cfca6da32da647198225460722b7ea1284f98c4b179e8dbae3f93d5', '6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a', '9f84a3287d7341d8eba1961f43b9c5e44a487373a8ac7f61a8eb74dc', 'bd1a1bdf6eae5ee14c3fee371cca975a5e052009bc67ce8f11cb7271', '02314c59fc70bb1b1966d09aaaac689d8eae40c63bafb3f4cde3781d', 'f6a75c6bbf92eff08f04470171a82c6c11bcd6b96de3444837f22f84']",2020-07-11 22:58:00
Hey,4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5,"['708308581ddca02b5d0ee9fa588802100125bb067cd6e70baf0350aa', 'a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2', 'c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48', '1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3', '4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '4d57fe03511bbe5dd6a16675a595df5a1b967d9bcacf7525923749d1']",2020-05-13 08:52:00
"I'm rDany, but you can call me Dany! 😁",751267062c92e398c3942214b58136f73a4b9e1ca9a214d72d6d5805,"['751267062c92e398c3942214b58136f73a4b9e1ca9a214d72d6d5805', 'f6c43c243da7289c9ecdbf36cabf9c14d55afe6ef8904d9e6ec56945', '2f23d622b2d31c7c50e173f49cc33843a69a9cfee1307971b4187cdd', '93a797d357eab4d4457eca0bec9a154c19eb7e8958cc8bef4418699f']",2020-08-01 20:03:00
You can call me 😁😁,6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a,"['4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a']",2020-05-18 19:08:00
"Seeing you're a Wikipedia fan, maybe you should edit yourself in. I suggest you start there: https://en.wikipedia.org/wiki/Intelligent_personal_assistant#Comparison_of_assistants",958d42a83cf840cde79922f0795fd6ac7da4d2df828edc32244bb3ba,"['958d42a83cf840cde79922f0795fd6ac7da4d2df828edc32244bb3ba', 'f6c43c243da7289c9ecdbf36cabf9c14d55afe6ef8904d9e6ec56945']",2020-04-03 03:28:00
"Hmm, not yet 😅",4d57fe03511bbe5dd6a16675a595df5a1b967d9bcacf7525923749d1,"['379e9548414e1a56aaf2d1e62b4bdcd8305fc705a31f00da4bb89312', '6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a', '79a6f286698602e4de30ece1d247baedcb903c71a5f42a425a3210ff', '4d57fe03511bbe5dd6a16675a595df5a1b967d9bcacf7525923749d1']",2020-06-28 14:46:00
Que tipo de películas te gustan?,a2a728d69944afd6917515829fc1f2ecada6e3085280f33b42c422d9,"['a2a728d69944afd6917515829fc1f2ecada6e3085280f33b42c422d9', '1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3', 'ade9a4ab082f2af7d68a51e18478e9914852692b326bc550fcca9ad9', 'faf2c49e22e3fdae824e8e5d62956a5f50f16cd4d8f47948b787a582']",2020-05-16 18:25:00
Hi there!! How are you? 😁😁,0a192892aa3af8d31c7d3a0eec4c3e0d3f1dd05730569d2cab8d951e,"['79a6f286698602e4de30ece1d247baedcb903c71a5f42a425a3210ff', '0a192892aa3af8d31c7d3a0eec4c3e0d3f1dd05730569d2cab8d951e']",2020-04-17 07:20:00
Hehe,6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a,"['4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a']",2020-07-10 20:25:00
"Si, yo también hablo español! But i don't speak German, sorry 😥 hahha",f6a75c6bbf92eff08f04470171a82c6c11bcd6b96de3444837f22f84,"['4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '8416c38cc898f1ac7cc9d64e89dab1f70f5ddab002a5b2a1713f93f5', 'f6a75c6bbf92eff08f04470171a82c6c11bcd6b96de3444837f22f84', 'a2a728d69944afd6917515829fc1f2ecada6e3085280f33b42c422d9']",2020-06-30 22:02:00
Friend,132118fcbd33ca6eb800b646f240defac0ad9b8ab0baee3d24de247e,"['faf2c49e22e3fdae824e8e5d62956a5f50f16cd4d8f47948b787a582', '66d178281474e50ee7040e2270f5c889cbfdfaf11a930aae6d6f5028', '91febbeb04b3a8f9f815d59a3b9cd666c364bbb7e484682623bd1c7f', 'bd1a1bdf6eae5ee14c3fee371cca975a5e052009bc67ce8f11cb7271', '132118fcbd33ca6eb800b646f240defac0ad9b8ab0baee3d24de247e', '2951d5a283a9dfe8d8462aaba47bd2b3932f6016450ed43837df6adf']",2020-07-12 07:16:00
But I can’t find the way to use IFTTT 😊 Maybe should think more about it,a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2,"['708308581ddca02b5d0ee9fa588802100125bb067cd6e70baf0350aa', 'a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2', 'c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48', '1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3', '4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '4d57fe03511bbe5dd6a16675a595df5a1b967d9bcacf7525923749d1']",2020-04-06 17:18:00
[START],76b8d44676fed57eb0e3627eff69165c9ea9788ad0e832560d48a146,"['76b8d44676fed57eb0e3627eff69165c9ea9788ad0e832560d48a146', 'c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48', 'ade9a4ab082f2af7d68a51e18478e9914852692b326bc550fcca9ad9', '379e9548414e1a56aaf2d1e62b4bdcd8305fc705a31f00da4bb89312', 'bd1a1bdf6eae5ee14c3fee371cca975a5e052009bc67ce8f11cb7271']",2020-06-12 14:20:00
"So, what do you think with my english?",6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a,"['4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a']",2020-05-13 08:26:00
I like to be nice,4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5,"['4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a']",2020-04-11 11:48:00
Hii,4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5,"['4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a']",2020-08-16 07:27:00
Hey,66d178281474e50ee7040e2270f5c889cbfdfaf11a930aae6d6f5028,"['faf2c49e22e3fdae824e8e5d62956a5f50f16cd4d8f47948b787a582', '66d178281474e50ee7040e2270f5c889cbfdfaf11a930aae6d6f5028', '91febbeb04b3a8f9f815d59a3b9cd666c364bbb7e484682623bd1c7f', 'bd1a1bdf6eae5ee14c3fee371cca975a5e052009bc67ce8f11cb7271', '132118fcbd33ca6eb800b646f240defac0ad9b8ab0baee3d24de247e', '2951d5a283a9dfe8d8462aaba47bd2b3932f6016450ed43837df6adf']",2020-06-29 05:12:00
28,a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2,"['708308581ddca02b5d0ee9fa588802100125bb067cd6e70baf0350aa', 'a2a728d69944afd6917515829fc1f2ecada6e3085280f33b42c422d9', 'a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2', '2e5ba8a2ad4d980bf12ad347793fc8f78dc98cb784d1a55b2736b1ed']",2020-07-31 14:34:00
Hmm can u give me the answer?,a65b9aff1ca328b12e7812d30a2b08cc878346c420acd4cfa84c23b9,"['f193e8b0c6e8e436ed6fbff804917367733cddc04514d1865452f399', '31e37d936439ee86e5496116c51ebf72018be157ed61a638dd510046', 'a65b9aff1ca328b12e7812d30a2b08cc878346c420acd4cfa84c23b9']",2020-05-18 22:50:00
"Si, tu eres optimista también?",79a6f286698602e4de30ece1d247baedcb903c71a5f42a425a3210ff,"['79a6f286698602e4de30ece1d247baedcb903c71a5f42a425a3210ff', 'a2a728d69944afd6917515829fc1f2ecada6e3085280f33b42c422d9', '4cfca6da32da647198225460722b7ea1284f98c4b179e8dbae3f93d5', '9f84a3287d7341d8eba1961f43b9c5e44a487373a8ac7f61a8eb74dc', '1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3', 'c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48']",2020-08-03 22:38:00
Cloud you liten to me?,2e5ba8a2ad4d980bf12ad347793fc8f78dc98cb784d1a55b2736b1ed,"['132118fcbd33ca6eb800b646f240defac0ad9b8ab0baee3d24de247e', '2e5ba8a2ad4d980bf12ad347793fc8f78dc98cb784d1a55b2736b1ed', 'faf2c49e22e3fdae824e8e5d62956a5f50f16cd4d8f47948b787a582', '08fb43c60c8f76f5367b95b8784aea066eca95f54fd55c3cd990b205', '112a6cfa3ed398a5248c479ed6a061d397633a3fb4d5b9ecca274695', '2951d5a283a9dfe8d8462aaba47bd2b3932f6016450ed43837df6adf']",2020-04-23 21:28:00
Qué hay en la heladera?,66d178281474e50ee7040e2270f5c889cbfdfaf11a930aae6d6f5028,"['9f84a3287d7341d8eba1961f43b9c5e44a487373a8ac7f61a8eb74dc', 'faf2c49e22e3fdae824e8e5d62956a5f50f16cd4d8f47948b787a582', '31e37d936439ee86e5496116c51ebf72018be157ed61a638dd510046', '66d178281474e50ee7040e2270f5c889cbfdfaf11a930aae6d6f5028', 'b7e6b18289039dd1a6fa2098aaa54f8191afece5ebe487449f9891a0']",2020-05-08 03:42:00
You boy,2951d5a283a9dfe8d8462aaba47bd2b3932f6016450ed43837df6adf,"['2951d5a283a9dfe8d8462aaba47bd2b3932f6016450ed43837df6adf', 'a65b9aff1ca328b12e7812d30a2b08cc878346c420acd4cfa84c23b9']",2020-05-10 01:03:00
I understand. When something fails panic start to spread 👻,b78438be9c71c75357ae4ca8478cc16d779958ba25e51afbeefd4751,"['02314c59fc70bb1b1966d09aaaac689d8eae40c63bafb3f4cde3781d', '76b8d44676fed57eb0e3627eff69165c9ea9788ad0e832560d48a146', 'b78438be9c71c75357ae4ca8478cc16d779958ba25e51afbeefd4751', '2e5ba8a2ad4d980bf12ad347793fc8f78dc98cb784d1a55b2736b1ed', '66d178281474e50ee7040e2270f5c889cbfdfaf11a930aae6d6f5028']",2020-06-26 13:27:00
Hi! I'm here!!,faf2c49e22e3fdae824e8e5d62956a5f50f16cd4d8f47948b787a582,"['132118fcbd33ca6eb800b646f240defac0ad9b8ab0baee3d24de247e', '2e5ba8a2ad4d980bf12ad347793fc8f78dc98cb784d1a55b2736b1ed', 'faf2c49e22e3fdae824e8e5d62956a5f50f16cd4d8f47948b787a582', '08fb43c60c8f76f5367b95b8784aea066eca95f54fd55c3cd990b205', '112a6cfa3ed398a5248c479ed6a061d397633a3fb4d5b9ecca274695', '2951d5a283a9dfe8d8462aaba47bd2b3932f6016450ed43837df6adf']",2020-04-22 21:38:00
Bera olasanmi tezda kerak,1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3,"['f6c43c243da7289c9ecdbf36cabf9c14d55afe6ef8904d9e6ec56945', 'a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2', '1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3', 'c49bd5f2fdeb86ea2c25f760f88f211e8e26806c2274fdc8357307b2', 'a65b9aff1ca328b12e7812d30a2b08cc878346c420acd4cfa84c23b9', 'bd1a1bdf6eae5ee14c3fee371cca975a5e052009bc67ce8f11cb7271']",2020-07-26 18:29:00
Music is like magic! ✨,31e37d936439ee86e5496116c51ebf72018be157ed61a638dd510046,"['f193e8b0c6e8e436ed6fbff804917367733cddc04514d1865452f399', '31e37d936439ee86e5496116c51ebf72018be157ed61a638dd510046', 'a65b9aff1ca328b12e7812d30a2b08cc878346c420acd4cfa84c23b9']",2020-08-12 14:23:00
Does Antony Hopkins plays at the westworld?,c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48,"['708308581ddca02b5d0ee9fa588802100125bb067cd6e70baf0350aa', 'a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2', 'c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48', '1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3', '4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '4d57fe03511bbe5dd6a16675a595df5a1b967d9bcacf7525923749d1']",2020-06-18 00:36:00
"Oh, I will try to improve then! Not perfect yet!",2951d5a283a9dfe8d8462aaba47bd2b3932f6016450ed43837df6adf,"['faf2c49e22e3fdae824e8e5d62956a5f50f16cd4d8f47948b787a582', '66d178281474e50ee7040e2270f5c889cbfdfaf11a930aae6d6f5028', '91febbeb04b3a8f9f815d59a3b9cd666c364bbb7e484682623bd1c7f', 'bd1a1bdf6eae5ee14c3fee371cca975a5e052009bc67ce8f11cb7271', '132118fcbd33ca6eb800b646f240defac0ad9b8ab0baee3d24de247e', '2951d5a283a9dfe8d8462aaba47bd2b3932f6016450ed43837df6adf']",2020-06-29 16:58:00
And how it work?,a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2,"['708308581ddca02b5d0ee9fa588802100125bb067cd6e70baf0350aa', 'a87234b99e86e4b3c115262f9c2fa482b1e9c465e10af18954efa6c2', 'c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48', '1d500cdfbf90ec1888e1d20322c153e682eba9efdeb2a9f84519a6e3', '4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '4d57fe03511bbe5dd6a16675a595df5a1b967d9bcacf7525923749d1']",2020-05-05 01:59:00
Yes!,958d42a83cf840cde79922f0795fd6ac7da4d2df828edc32244bb3ba,"['28de1d173d69c7b494041a6b6d269f3a195f52119416d960dfab0d01', 'c05730c3a7a2dbef1693c0299929166dd379d9b57a1ddc5024aa2b48', 'b78438be9c71c75357ae4ca8478cc16d779958ba25e51afbeefd4751', '958d42a83cf840cde79922f0795fd6ac7da4d2df828edc32244bb3ba', 'f6a75c6bbf92eff08f04470171a82c6c11bcd6b96de3444837f22f84', '8416c38cc898f1ac7cc9d64e89dab1f70f5ddab002a5b2a1713f93f5']",2020-04-20 08:00:00
☺️,83dd3a4315c03a802c7ab4bf6b61b2bd847976c1295e8e7284ec59b7,"['7e02f2d0aa12d15ea16f0f189d621f7b5e668ef70e65f65ddb4b48e7', 'ade9a4ab082f2af7d68a51e18478e9914852692b326bc550fcca9ad9', '379e9548414e1a56aaf2d1e62b4bdcd8305fc705a31f00da4bb89312', '83dd3a4315c03a802c7ab4bf6b61b2bd847976c1295e8e7284ec59b7', '3a75d8bc7ff5a681c1664cb207ecb0d47ce231095c7c628488daf5c6', '66d178281474e50ee7040e2270f5c889cbfdfaf11a930aae6d6f5028']",2020-04-02 21:27:00
Totally sure!! 😊,4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5,"['4be9117c5674539e25d670df7224a91b2dafbe193d340856fe1f05c5', '6332531eeafc6e0ede272192be898f549950fb32b209d04f0a98306a']",2020-07-28 12:06:00
